Country; Program; Agency engaged; First orbital manned launch; First orbital manned launch; First orbital manned launch; First orbital manned launch; First orbital manned launch
Country; Program; Agency engaged; Spacecraft; Term(s) for space traveler; First human(s) launched; Date; Launch system
  People's Republic of China; Project 714 (1968-72); Chinese space program; Shuguang-1 (Intended); 宇航员 (in Chinese) yǔhángyuán航天员 (in Chinese)hángtiānyuán; N/A; N/A; Long March 2A (Intended)
  People's Republic of China; Project 863 (1978-81); Chinese space program; Piloted FSW (Intended); 宇航员 (in Chinese) yǔhángyuán航天员 (in Chinese)hángtiānyuán; N/A; N/A; Long March 2 (Intended)
  Ba'athist Iraq; ... (1989-2001); Space Research Center, Baghdad; N/A; رجل فضاء (in Arabic) rajul faḍāʼرائد فضاء (in Arabic)rāʼid faḍāʼملاح فضائي (in Arabic)mallāḥ faḍāʼiy; N/A; N/A; Tammouz 2 or 3 (Intended)
  People's Republic of China; Project 921 (1992-present); China National Space Administration; Shenzhou 5; 宇航员 (in Chinese) yǔhángyuán航天员 (in Chinese)hángtiānyuántaikonaut("太空人" tàikōng rén); 杨利伟 (Yang Liwei); 15 October 2003; Long March 2F
  Japan; Late 1980s-2003; National Space Development Agency of Japan; HOPE-X; 宇宙飛行士 (in Japanese) uchūhikōshi orアストロノートastoronoto; N/A; N/A; H-IIA (Intended)
  India; Indian Human Spaceflight Programme (2007-present); Human Space Flight Centre (ISRO); Gaganyaan; Vyomanaut/Gaganaut; TBA; December 2021 (Planned) Before 15 August 2022 (Scheduled); GSLV Mk III (Planned)
  Japan; 2008-present; Japan Aerospace Exploration Agency; HTV-based spacecraft; 宇宙飛行士 (in Japanese) uchūhikōshi orアストロノートastoronoto; TBD; TBD; H-IIB (Planned)
  Iran; Iranian manned space program (2005-2017, on hold); Iranian Space Agency; Class E Kavoshgar spaceship; ; TBD; TBD; TBD
