Country; Country; Motorways; Motorways; Express-/ Speedways; Express-/ Speedways; Express-/ Speedways; Motor- & Express-/ Speedways directions; Motor- & Express-/ Speedways directions; Primary roads; Primary roads; Primary roads; Primary roads; Secondary roads outside urban areas; Secondary roads outside urban areas; Secondary roads outside urban areas; Warning signs; Warning signs; Warning signs; Road works / Detours[ n 1]; Road works / Detours[ n 1]; 
Name; Code; white on green; white on blue; n/a; white on green; white on blue; white on green; white on blue; white on green; white on blue; black on yellow; black/red on white; n/a; black on white; other; Triangle on white; Triangle on yellow/ orange; Diamond on yellow; on orange; on yellow; 
Austria; A; ; w/b; ; ; w/b; ; w/b; °w/g[ n 2] [ n 3]; ; ; bl/w; ×; ; ; bl/w; ; ; ; bl/y; 
Czech Republic; CZ; w/g; ; ; ; w/b; w/g[ n 4]; w/b[ n 5]; ; w/b; ; ; ; bl/w; ; bl/w; ; ; bl/o; ; 
Germany; D; ; w/b; ; ; w/b; ; w/b; ; ; bl/y; ; ×; ; ; bl/w; ; ; ; bl/y; 
Liechtenstein; LI; w/g; ; ; w/g; ; w/g; ; ; w/b; ; ; ; bl/w; ; bl/w; ; ; bl/o; ; 
Lithuania; LT; w/g; ; ; ; w/b; w/g; ; ; w/b; ; ; ; bl/w; ; bl/w; ; ; ; bl/y; 
France; F; ; w/b; ; ; w/b; ; w/b; °w/g[ n 2]; ; ; bl/w; ×; ; ; bl/w; °bl/y[ n 1]; ; bl/o; ; 
Greece; GR; y+w/g; ; ; ; y+w/b; °y+w/g[ n 4]; °y+w/b[ n 5]; ; y+w/b; ; ; ; bl/w; ; ; bl/o; ; bl/o; ; 
Ireland; IRL; ; w/b; ×; ; ; ; w/b; w/g; ; ; ; ; bl/w; ; ; ; bl/y; bl/o; ; 
Italy; I; w/g; ; ; ; w/b[ n 6]; °w/g[ n 4]; °w/b[ n 5]; ; w/b; ; ; x; ; ; bl/w; °bl/y[ n 1]; ; ; bl/y; 
Netherlands; NL; ; w/b; ; ; w/b; ; w/b; ; w/b; ; ; x; ; ; bl/w; ; ; ; bl/y; 
Norway; N; ; w/b; ; ; w/b; ; w/b; ; ; bl/y; ; ×; ; ; bl/w; °bl/gg[ n 1]; ; bl/o; ; 
Poland; PL; ; w/b; ; ; w/b; ; w/b; w/g; ; ; ; x; ; ; ; bl/o; ; bl/o; ; 
Portugal; P; ; w/b; ; ; w/b; ; w/b; ; ; ; bl/w; ; bl/w; ; bl/w; ; ; ; bl/y; 
Romania; RO; w/g; ; x; ; ; w/g; ; ; w/b; ; ; x; ; ; bl/w; ; ; ; bl/y; 
Slovakia; SK; ; w/b; ; ; w/b; w/g; ; ; w/b; ; ; ; bl/w; ; bl/w; ; ; ; bl/y; 
Sweden; S; w/g; ; ; w/g; ; w/g; ; ; w/b; ; ; x; ; ; ; bl/o; ; bl/o; ; 
Switzerland; CH; w/g; ; ; w/g; ; w/g; ; ; w/b; ; ; ; bl/w; ; bl/w; ; ; bl/o; ; 
United Kingdom; GB; ; w/b; x; ; ; ; w/b; w/g; ; ; ; ; bl/w; ; bl/w; ; ; ; bl/y; 
Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable; Legend:    t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable       × – not applicable
