Client; Creator; Software license; Latest release; 
BookmarkSync; Jack Dean; Proprietary; Windows: 3.0.0 (August  2010; 9  years ago  (2010-08)) [ ±] Mac OS X: 1.0.4 (September  14, 2005; 14 years ago  (2005-09-14)) [ ±] BookmarkSync was discontinued some time around 2006.; 
Opera; Opera Software; Proprietary; Opera: 65.0.3467.78 (19  December 2019; 1 day ago  (2019-12-19)[ 1] ) Opera Mini: Android 44.1.2254.143214 / 23  September 2019; 2 months ago  (2019-09-23)[ 2] iOS 16.0.14 / 4  October 2018; 14 months ago  (2018-10-04)[ 3] Windows Mobile 10 and Phone 8.1 9.1.0.232 / 16  June 2016; 3 years ago  (2016-06-16)[ 4] BlackBerry 8.0.1 / 10  July 2014; 5 years ago  (2014-07-10)[ 5] Symbian 7.1.32453 / 6  December 2016; 3 years ago  (2016-12-06)[ 6] Java ME 8.0 / 12  March 2014; 5 years ago  (2014-03-12)[ 7]; Android; 44.1.2254.143214 / 23  September 2019; 2 months ago  (2019-09-23)[ 2]; iOS; 16.0.14 / 4  October 2018; 14 months ago  (2018-10-04)[ 3]; Windows Mobile 10 and Phone 8.1; 9.1.0.232 / 16  June 2016; 3 years ago  (2016-06-16)[ 4]; BlackBerry; 8.0.1 / 10  July 2014; 5 years ago  (2014-07-10)[ 5]; Symbian; 7.1.32453 / 6  December 2016; 3 years ago  (2016-12-06)[ 6]; Java ME; 8.0 / 12  March 2014; 5 years ago  (2014-03-12)[ 7]
Android; 44.1.2254.143214 / 23  September 2019; 2 months ago  (2019-09-23)[ 2]; 
iOS; 16.0.14 / 4  October 2018; 14 months ago  (2018-10-04)[ 3]; 
Windows Mobile 10 and Phone 8.1; 9.1.0.232 / 16  June 2016; 3 years ago  (2016-06-16)[ 4]; 
BlackBerry; 8.0.1 / 10  July 2014; 5 years ago  (2014-07-10)[ 5]; 
Symbian; 7.1.32453 / 6  December 2016; 3 years ago  (2016-12-06)[ 6]; 
Java ME; 8.0 / 12  March 2014; 5 years ago  (2014-03-12)[ 7]; 
SiteBar; Ondrej Brablc; GPL; 3.4 12  February 2014; 5 years ago  (2014-02-12); 
Firefox Sync; Mozilla Foundation; Mozilla Public License; Standard 71.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 8] Extended Support Release 68.3.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 9]; Standard; 71.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 8]; Extended Support Release; 68.3.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 9]; 
Standard; 71.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 8]; 
Extended Support Release; 68.3.0 / December  3, 2019; 17 days ago  (2019-12-03)[ 9]; 
Google Chrome; Google; Freeware under Google Chrome Terms of Service; Windows, macOS, Linux 79.0.3945.88 / December  17, 2019; 3 days ago  (2019-12-17)[ 10] Android 79.0.3945.93 / December  17, 2019; 3 days ago  (2019-12-17)[ 11] iOS 79.0.3945.73 / December  10, 2019; 10 days ago  (2019-12-10)[ 12]; Windows, macOS, Linux; 79.0.3945.88 / December  17, 2019; 3 days ago  (2019-12-17)[ 10]; Android; 79.0.3945.93 / December  17, 2019; 3 days ago  (2019-12-17)[ 11]; iOS; 79.0.3945.73 / December  10, 2019; 10 days ago  (2019-12-10)[ 12]; 
Windows, macOS, Linux; 79.0.3945.88 / December  17, 2019; 3 days ago  (2019-12-17)[ 10]; 
Android; 79.0.3945.93 / December  17, 2019; 3 days ago  (2019-12-17)[ 11]; 
iOS; 79.0.3945.73 / December  10, 2019; 10 days ago  (2019-12-10)[ 12]; 
Pale Moon Sync; M.C. Straver; Mozilla Public License; N/A (part of Pale Moon); 
; ; ; ; 
Eversync; Nimbus Web Inc; Proprietary; Firefox: 15.5.1 (July  5, 2018; 17 months ago  (2018-07-05)) [ ±] Chrome: 17.1.1 (July  5, 2018; 17 months ago  (2018-07-05)) [ ±] IE: Android: 1.11.1 (May  19, 2017; 2 years ago  (2017-05-19)) [ ±] iOS: 2.6 (October  4, 2016; 3 years ago  (2016-10-04)) [ ±] Windows Phone:; 
Client; Creator; Software license; Latest release; 
