; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance; Cascading and Inheritance
css- cascade-3; all; No; No; 27.0[ g 14]; No; No; No
Display; Display; Display; Display; Display; Display; Display; Display
CSS2; display; 8.0; 12; 1.9; 85; Yes; 1.0
Earlier draft of css- display-3; display-inside; No; No; No; No; No; No
Earlier draft of css- display-3; display-outside; No; No; No; No; No; No
Earlier draft of css- display-3; display-list; No; No; No; No; No; No
css- display-3; box-suppress; No; No; No; No; No; No
Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]; Box Model[ spec 7]
CSS2; margin; 9.0; 12; 1.0; 85; Yes; 1.0
CSS2; padding; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; width; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; height; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; float; 5.0; 12; 1.0; 85; Yes; 1.0
CSS2; clear; 5.0; 12; 1.0; 85; Yes; 1.0
CSS2; min-width; 7.0; 12; 1.0; Partial; Yes; 1.0
CSS2; max-width; 7.0; 12; 1.0; Partial; Yes; 1.0
CSS2; min-height; 7.0; 12; 1.7; Partial; 3.3.2; 1.0
CSS2; max-height; 7.0; 12; 1.7; Partial; 3.3.2; 1.0
CSS2; visibility; 9.0; 12; 1.8; Partial; Partial; 2.5
Overflow; Overflow; Overflow; Overflow; Overflow; Overflow; Overflow; Overflow
CSS2; overflow; 9.0; 12; 1.0; 85; 3.2; 1.0
css- overflow- 3; overflow-x; 9.0; 12; 1.8; 525; 3.5.6; 2.1
css- overflow- 3; overflow-y; 9.0; 12; 1.8; 525; 3.5.6; 2.1
css- overflow- 3; max-lines; No; No; No; No; No; No
Borders; Borders; Borders; Borders; Borders; Borders; Borders; Borders
CSS2; border; 4.0; 12; 1.0; 85; Yes; 1.0
