; ; Trident; Tasman; Gecko; WebKit; KHTML; Presto
Interface EventTarget; Interface EventTarget; Interface EventTarget; Interface EventTarget; Interface EventTarget; Interface EventTarget; Interface EventTarget; Interface EventTarget
DOM2; addEventListener(); 5.0[ t 6]; No; 1.0; Yes; Yes; 1.0
DOM2; removeEventListener(); 5.0[ t 6]; No; 1.0; Yes; Yes; 1.0
DOM2; dispatchEvent(); 5.0[ t 6]; No; 1.0; ?; ?; 1.0
Interface EventListener; Interface EventListener; Interface EventListener; Interface EventListener; Interface EventListener; Interface EventListener; Interface EventListener; Interface EventListener
DOM2; handleEvent(); ?; ?; ?; ?; ?; 1.0
Interface Event; Interface Event; Interface Event; Interface Event; Interface Event; Interface Event; Interface Event; Interface Event
DOM2; type; 4.0; Yes; 1.0; ?; ?; 1.0
DOM2; target; 1.3; Yes; Incorrect; ?; 1.0
DOM2; No; currentTarget; ?; ?; 1.0
DOM2; No; 1.0; eventPhase; ?; ?; 1.0
DOM2; No; 1.0; bubbles; ?; ?; 1.0
DOM2; No; 1.0; cancelable; ?; ?; 1.0
DOM2; No; timeStamp; Yes; ?; ?; 1.0
DOM2; No; stopPropagation(); ?; ?; 1.0
DOM2; No; preventDefault(); ?; ?; 1.0
DOM2; No; initEvent(); ?; ?; 1.0
Exception EventException; Exception EventException; Exception EventException; Exception EventException; Exception EventException; Exception EventException; Exception EventException; Exception EventException
DOM2; code; No; No; 1.0; ?; ?; 1.0
Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent; Interface DocumentEvent
DOM2; createEvent(); No; No; 1.0; ?; ?; 1.0
Interface UIEvent; Interface UIEvent; Interface UIEvent; Interface UIEvent; Interface UIEvent; Interface UIEvent; Interface UIEvent; Interface UIEvent
DOM2; view; No; No; No[ g 10]; ?; ?; 1.0
DOM2; detail; No; No; No[ g 10]; ?; ?; 1.0
DOM2; initUIEvent(); No; No; No[ g 10]; ?; ?; 1.0
Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent; Events for interface UIEvent
DOM2; DOMFocusIn; No; No; No[ g 10]; ?; ?; 1.0
DOM2; DOMFocusOut; No; No; No[ g 10]; ?; ?; 1.0
DOM2; DOMActivate; No; No; No[ g 10]; ?; ?; 1.0
Interface MouseEvent; Interface MouseEvent; Interface MouseEvent; Interface MouseEvent; Interface MouseEvent; Interface MouseEvent; Interface MouseEvent; Interface MouseEvent
