; Trident; Gecko[ g 99]; WebKit; Presto
loadstart; 5.0[ t 44]; 1.9.1; ?; ?
progress; 5.0[ t 44]; 1.9.1; ?; ?
suspend; 5.0[ t 44]; 1.9.2; ?; ?
abort; 5.0[ t 44]; ?; ?
error; 5.0[ t 44]; ?; ?
emptied; 5.0[ t 44]; ?; ?
stalled; 5.0[ t 44]; 8.0[ g 100]; ?; ?
play; 5.0[ t 44]; ?; ?
pause; 5.0[ t 44]; ?; ?
loadedmetadata; 5.0[ t 44]; ?; ?
loadeddata; 5.0[ t 44]; ?; ?
waiting; 5.0[ t 44]; ?; ?
playing; 5.0[ t 44]; No; ?; ?
canplay; 5.0[ t 44]; ?; ?
canplaythrough; 5.0[ t 44]; ?; ?
seeking; 5.0[ t 44]; ?; ?
seeked; 5.0[ t 44]; ?; ?
timeupdate; 5.0[ t 44]; ?; ?
ended; 5.0[ t 44]; ?; ?
ratechange; 5.0[ t 44]; ?; ?
durationchange; 5.0[ t 44]; ?; ?
volumechange; 5.0[ t 44]; ?; ?
