Vehicle; Origin; Manufacturer; Payload mass to ... (kg); Payload mass to ... (kg); Payload mass to ... (kg); Launches[ note 5]; Date of flight; Date of flight
Vehicle; Origin; Manufacturer; LEO; GTO; Other; Launches[ note 5]; First[ note 6]; Latest
Alpha;   United States; Firefly Aerospace; 1,000[ 1]; ; 630 to SSO; 0; 2020[ 2]; 
Angara 1.2;   Russia; Khrunichev; 3,500[ 3]; ; 2,400 to SSO; 0; 2020[ 4] [ note 7]; 
Angara A5;   Russia; Khrunichev; 24,000[ 3]; 7,500 with KVTK 5,400 with Briz-M [ 3]; ; 1; 2014; 2014
Antares 230 / 230+;   United States; NG Innovation; 8,200[ 6]; ; 3,000 to SSO[ note 8]; 6[ 7]; 2016; 2019
Ariane 5 ECA;   Europe; EADS Astrium; 21,000[ 8]; 10,865[ 9] [ note 9]; ; 73[ 11]; 2002; 2019
Ariane 6 A62;   Europe; ArianeGroup; 10,350[ 12] :45; 5,000[ 12] :33; 6,450 to SSO 3,000 to HEO 3,000 to TLI [ 12] :40–49; 0; 2020[ 13] [ 14]; 
Ariane 6 A64;   Europe; ArianeGroup; 21,650[ 12] :46; 11,500+ [ 12] :33; 14,900 to SSO 5,000 to GEO 8,400 to HEO 8,500 to TLI [ 12] :40–49; 0; 2021–2022[ 13]; 
Atlas V 401;   United States; ULA; 9,050[ 15]; 4,950; 6,670 to SSO; 38[ 15]; 2002; 2018
Atlas V 411;   United States; ULA; 9,050[ 15]; 6,075; 8,495 to SSO; 5[ 15]; 2006; 2018
Atlas V 421;   United States; ULA; 9,050[ 15]; 7,000; 9,050 to SSO; 7[ 15]; 2007; 2017
Atlas V 431;   United States; ULA; 9,050[ 15]; 7,800; 9,050 to SSO; 3[ 15]; 2005; 2016
Atlas V 501;   United States; ULA; 8,250[ 15]; 3,970; 5,945 to SSO 1,500 to GEO; 6[ 15]; 2010; 2015
Atlas V 511;   United States; ULA; 10,950[ 15]; 5,370; 7,820 to SSO 1,750 to GEO; 0; –; 
Atlas V 521;   United States; ULA; 13,300[ 15]; 6,485; 9,585 to SSO 2,760 to GEO; 2[ 15]; 2003; 2004
Atlas V 531;   United States; ULA; 15,300[ 15]; 7,425; 11,160 to SSO 3,250 to GEO; 3[ 15]; 2010; 2013
Atlas V 541;   United States; ULA; 17,100[ 15]; 8,240; 12,435 to SSO 3,730 to GEO; 6[ 15]; 2011; 2018
Atlas V 551;   United States; ULA; 18,500[ 15]; 8,700; 13,550 to SSO 3,960 to GEO; 10[ 15]; 2006; 2019
Atlas V 552;   United States; ULA; 20,520[ 16]; ; ; 0; 2020[ 17]; 
