Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Clock rate; Clock rate; Core config; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; TDP (Watts); API support (version); API support (version); Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Core (MHz); Memory (MHz); Core config; MOperations/s; MPixels/s; MVertices/s; MTexels/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Max.; Direct3D; OpenGL; Release Price (USD)
Radeon X1300; Oct. 5, 2005 (PCI-E) Dec. 1, 2005 (AGP); RV515; 90; 107; 100; AGP 8x PCI PCI-E x16; 450; 250; 4:2:4:4; 1800; 1800; 225; 1800; 128 256; 8.0; DDR2; 128; ; 9.0c; 2.1; $
Radeon X1300 HyperMemory; Oct. 5, 2005; RV515; 90; 107; 100; PCI-E x16; 450; 250; 4:2:4:4; 1800; 1800; 225; 1800; 128 256 512; 8.0; DDR2; 64; ; 9.0c; 2.1; $
Radeon X1300 PRO; Oct. 5, 2005 (PCI-E) Nov. 1, 2006 (AGP); RV515; 90; 107; 100; 600; 2400; 2400; 4:2:4:4; 300; 2400; 12.8; 128; 31; DDR2; 9.0c; 2.1; $
Radeon X1300 XT; Aug. 12, 2006; RV530; 90; 157; 150; 400; 12:5:4:4; 6000; 2000; 625; 128 256; 12.8; 128; 2000; 22; DDR2; 9.0c; 2.1; $
Radeon X1550; Jan. 8, 2007; RV516; 90; 107; 100; 400; AGP 8x PCI PCI-E x16; 4:2:4:4; 2200; 2200; 275; 12.8; 128; 2200; 27; DDR2; 9.0c; 2.1; $
Radeon X1600 PRO; Oct. 10, 2005; RV530; 90; 157; 500; AGP 8x PCI-E x16; 390; 12:5:4:4; 6000; 128 256 512; 2000; 128; 625; 2000; DDR2; 12.48; 41; 9.0c; 2.1; $
Radeon X1600 XT; Oct. 10, 2005 (PCI-E); RV530; 90; 157; 590; 150; AGP 8x PCI-E x16; 780; 12:5:4:4; 7080; 2360; 737.5; 128; 2360; 22.08; GDDR3; 42; 9.0c; 2.1; $
Radeon X1650; Feb. 1, 2007; RV530; 90; 157; 500; 150; AGP 8x PCI-E x16; 256 512; 12:5:4:4; 6000; 2000; 625; 128; 2000; DDR2; 9.0c; 2.1; $
Radeon X1650 SE; ; RV516; 90; 400; 105; ; PCI-E x16; 635; 4:2:4:4; 12.8; ; ; 128; ; ; ; 256; DDR2; 9.0c; 2.1; $
Radeon X1650 GT; May 1, 2007 (PCI-E) Oct. 1, 2007 (AGP); RV560; 400; 330; 230; AGP 8x PCI-E x16; 400; 24:8:8:8; 12.8; 9600; ; 128; 3200; 800; 3200; 9.0c; 2.1; $
Radeon X1650 PRO; Aug. 23, 2006 (PCI-E) Oct. 15, 2006 (AGP); RV535; 131; 80; 330; 600; AGP 8x PCI-E x16; 12:5:4:4; 7200; 2400; 750; 2400; 128; 256 512; GDDR3; 44; 9.0c; 2.1; $
Radeon X1650 XT; Oct. 30, 2006; RV560; 230; 80; 330; 700; AGP 8x PCI-E x16; 525; 24:8:8:8; 12600; 4200; 22.4; 128; 256 512; GDDR3; 1050; 4200; 55; 9.0c; 2.1; $
