Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Clock rate; Clock rate; Core config; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); Processing power (GFLOPS); TDP (Watts); TDP (Watts); Crossfire Support; API support (version); API support (version); API support (version); Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Core (MHz); Memory (MHz); Core config; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Idle; Max.; Crossfire Support; Direct3D; OpenGL; OpenCL, ATI Stream; Release Price (USD)
Radeon HD 3410; May 7, 2009; RV610; 65; 180; 85; PCIe 1.0 x16; 519; 396; 40:4:4; 2.08; 2.08; 256; 6.34; DDR2; 64; 41.52; No; ; 20; No; 10.0; 3.3; No, Yes; ?
Radeon HD 3450; Jan 23, 2008; RV620 LE; 55; 181; 67; PCIe 2.0 x16 PCI AGP 8x; 600; 500; 40:4:4; 2.40; 2.40; 8.00; 48.0; DDR2; 64; No; 25; ; No; 3.3; No, Yes; ?
Radeon HD 3470; Jan 23, 2008; RV620 PRO; 55; 181; 67; 800; 950; 3.20; 40:4:4; 3.20; 256 512; 15.2; DDR2 GDDR3; 64.0; 64; 10.1; No; ; No; 3.3; No, Yes; ?
Radeon HD 3550; Aug 4, 2008; RV620 PRO; 55; 181; 67; 594; 396; 2.38; 40:4:4; 2.38; 6.34; 47.52; 30; No; 64; 10.1; ; No; 3.3; No, Yes; ?
Radeon HD 3570; Jul 5, 2010; RV620 PRO; 55; 181; 67; 512; 796; DDR2; 40:4:4; 495; 3.18; 3.18; 30; 7.92; 64; 10.1; 63.68; ; No; No; 3.3; No, Yes; ?
Radeon HD 3610; Sep 24, 2009; RV630 PRO; 65; 390; 153; PCIe 1.0 x16; 594; DDR2; 396; 2.38; 4.75; 512 1024; 12.7; 128; 142.6; 10.1; No; ; 35; No; 3.3; No, Yes; ?
Radeon HD 3650; Jan 23, 2008; RV635 PRO; 55; 378; 153; PCIe 2.0 x16 AGP 8x; 725; 405 800; 120:8:4; 2.90; 5.80; 256 512 1024; 13.0 25.6; 128; DDR2 GDDR3 GDDR4; 10.1; 174.0; ; No; 3.3; No, Yes; ?
Radeon HD 3730; Oct 5, 2008; RV635 PRO; 55; 378; PCIe 2.0 x16; 722; 405; 2.89; 120:8:4; 5.78; 13.0; DDR2; 173.3; 128; 65; 10.1; No; ; No; 3.3; No, Yes; ?
Radeon HD 3750; Oct 5, 2008; RV635 PRO; 55; 378; PCIe 2.0 x16; 796; 693; 3.18; 120:8:4; 512; 6.37; 22.2; 191.0; 128; 65; 10.1; No; ; 3.3; No, Yes; ?
Radeon HD 3830; Apr 1, 2008; RV670 PRO; 55; 666; PCIe 2.0 x16; GDDR3; 668; 828; 2-way Crossfire; 10.7; 10.7; 256; 128; 26.5; 10.1; 85.4; ; $129; 3.3; No, Yes; 
Radeon HD 3850; Nov 19, 2007; RV670 PRO; 55; 666; 192; 830 900; 668; 256 512 1024; 53.1 57.6; 320:16:16; 10.7; 10.7; 85.4; $179; 427.5; 10.1; 75; ; 3.3; No, Yes; 
Radeon HD 3870; Nov 19, 2007; RV670 XT; 55; 666; 192; 777; GDDR3 GDDR4; 256; 900 1126; 320:16:16; 12.4; 12.4; 512 1024; 57.6 72.1; 497.3; 10.1; 99.2; ; 106; $219; 3.3; No, Yes; 
Radeon HD 3850 X2; Apr 4, 2008; RV670 PRO; 55; 666×2; 192×2; PCIe 2.0 x16; 668; 828; 320:16:16×2; 10.7×2; 10.7×2; 512×2; 53.0×2; GDDR3; 256×2; 10.1; 855.0; ; 171; 140; $349; 3.3; No, Yes; 
Radeon HD 3870 X2; Jan 28, 2008; R680; 55; 666×2; 192×2; PCIe 2.0 x16; 825; 900 1125; 320:16:16×2; 13.2×2; 13.2×2; 512×2; 57.6×2 72.0×2; GDDR3 GDDR4; 256×2; 10.1; 1056; ; 2-way Crossfire; 211.2; 165; 3.3; No, Yes; $449
