Chip series; Micro-architecture; Fab; Supported APIs; Supported APIs; Supported APIs; Supported APIs; Supported APIs; AMD support; Year introduced; Introduced with
Chip series; Micro-architecture; Fab; Computing; Computing; AMD support; Year introduced; Introduced with
Chip series; Micro-architecture; Fab; Vulkan[ 7]; OpenGL[ 8]; Direct3D; HSA; OpenCL; AMD support; Year introduced; Introduced with
Wonder; Fixed-pipeline[ a]; 1000nm 800nm; N/A; N/A; N/A; N/A; N/A; Ended; 1986; 
Mach; Fixed-pipeline[ a]; 800nm 600nm; N/A; N/A; N/A; N/A; N/A; Ended; 1991; 
3D Rage; Fixed-pipeline[ a]; 500nm; N/A; N/A; 5.0; N/A; N/A; Ended; 1996; 3D Rage
Rage Pro; Fixed-pipeline[ a]; 350nm; N/A; 1.1; 1997; N/A; N/A; Ended; Rage Pro; 
Rage 128; Fixed-pipeline[ a]; 250nm; N/A; 1.2; 1998; N/A; N/A; Ended; Rage 128GL/VR; 
R100; Fixed-pipeline[ a]; 180nm 150nm; N/A; 2000; Original "ATI Radeon", as well as Radeon DDR, 7000, 7500, VE, and LE models; N/A; N/A; Ended; 
R200; Programmable pixel & vertex pipelines; 1.3; N/A; 8.1; 2001; N/A; N/A; Ended; 8500, 9000, 9200 and 9250; 
R300; Programmable pixel & vertex pipelines; 150nm 130nm 110nm; N/A; 9.0 11 (FL 9_2); 2002; N/A; N/A; Ended; 9500–9800, X300–X600, X1050; 
R420; Programmable pixel & vertex pipelines; 130nm 110nm; N/A; 9.0b 11 (FL 9_2); 2004; N/A; N/A; Ended; X700–X850; 
R520; Programmable pixel & vertex pipelines; 90nm 80nm; N/A; 9.0c 11 (FL 9_3); 2005; N/A; N/A; Ended; X1300–X1950; 
R600; TeraScale 1; 80nm 65nm; N/A; 10.0 11 (FL 10_0); ATI Stream; N/A; 2007; Ended; HD 2000 series, HD 3410; 
RV670; TeraScale 1; 55nm; N/A; 10.1 11 (FL 10_1); ATI Stream APP[ 9]; N/A; 2007; Ended; HD 3450–3870, Mobility HD 2000 and 3000 series; 
RV770; TeraScale 1; 55nm 40nm; N/A; 10.1 11 (FL 10_1); 1.0; N/A; 2008; Ended; HD 4000 series; 
Evergreen; TeraScale 2; 40nm; N/A; 11 (FL 11_0); 1.2; N/A; 2009; Ended; HD 5000 series; 
Northern Islands; TeraScale 2 TeraScale 3; 40nm; N/A; 11 (FL 11_0); 1.2; N/A; 2010; Ended; HD 6000 series, and IGP 7000 series; 
Southern Islands; GCN 1st gen; 28nm; 1.0; 4.6 (Mesa 4.5); 11 (FL 11_1) 12 (FL11_1); ; 1.2 2.0 possible; Current; 2012; HD 7000 series
Sea Islands; GCN 2nd gen; 28nm; 1.1; 4.6 (Mesa 4.5); 11 (FL 12_0) 12 (FL 12_0); ; 2.0 (1.2 in MacOS, Linux) 2.1 Beta in Linux ROCm 2.2 possible; Current; 2013; Radeon 200 series
Volcanic Islands; GCN 3rd gen; 28nm; 1.1; 4.6 (Mesa 4.5); 11 (FL 12_0) 12 (FL 12_0); ; 2.0 (1.2 in MacOS, Linux) 2.1 Beta in Linux ROCm 2.2 possible; Current; 2014; Radeon 300 series
Arctic Islands; GCN 4th gen; 14nm; 1.1; 4.6 (Mesa 4.5); 11 (FL 12_0) 12 (FL 12_0); ; 2.0 (1.2 in MacOS, Linux) 2.1 Beta in Linux ROCm 2.2 possible; Current; 2016; Radeon 400 series
Vega; GCN 5th gen; 14nm 7nm; 1.1; 4.6 (Mesa 4.5); 2017; ; 2.0 (1.2 in MacOS, Linux) 2.1 Beta in Linux ROCm 2.2 possible; Current; Radeon Vega series; 
Navi; RDNA 1st gen; 7nm; 1.1; 4.6 (Mesa 4.5); 2019; ; 2.0 (1.2 in MacOS, Linux) 2.1 Beta in Linux ROCm 2.2 possible; Current; Radeon RX 5000 series; 
