Model; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API compliance (version); API compliance (version); Notes
Model; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Notes
Mobility Radeon 7000; Feb 2001; M6; RV100; 180; AGP 4x; 144 167; 144 183; 0:1:3:1; 0.167; 0.5; 8 16 32; 1.464 2.928; SDR DDR; 32 64; 6; 1.3; 
Mobility Radeon 7500; Dec 2001; M7; RV200; 150; AGP 4x; 280; 1:2:6:2; 0.56; 1.68; 32 64; 3.2 6.4; DDR; 64 128; 7; PowerPlay II, DX7 T& L; 1.3; 
Mobility Radeon 9000; Aug 2002; M9; RV250; 150; AGP 4x; 200; 250; 1.0; 8.1; 32 64; 3.2 6.4; DDR; 64 128; 
Mobility Radeon 9200; Mar 2003; M9+; RV280; 150; AGP 8x; 1:4:4:4; 1.0; 1.0; 8.1; 32 64; 1.4; DDR; 64 128; 250/250; 200/220; 3.2/3.52 6.4/7.04; 
Mobility Radeon 9500; 2004?; M11; RV360; AGP 8x; Unknown; Unknown; 2:4:4:4; Unknown; Unknown; 64; DDR; 64 128; Unknown; 2.0; ; 
Mobility Radeon 9550; 2005; M12; RV360; 210; AGP 8x; 183; 0.84; 2:4:4:4; 0.84; 2.928 5.856; 64; DDR; 64 128; 9.0; 2.0; ; 
Mobility Radeon 9600; Mar 2003; M10, M11; RV350; 300; AGP 8x; 300; 1.2; 2:4:4:4; 1.2; 64 128; 4.8 9.6; DDR; 64 128; 9.0; 2.0; ; 
Mobility Radeon 9600 Pro; 2004; M10; RV350; 350; AGP 8x; 350; 1.4; 2:4:4:4; 1.4; 11.2; DDR; 9.0; 2.0; ; 
Mobility Radeon 9700; Feb 2004; M11; RV360; 450; AGP 8x; 275; 128; 2:4:4:4; 128; 1.8; 1.8; DDR; 8.8; 9.0; 2.0; ; 
Mobility Radeon 9800; Sep 2004; M18; R420; 350; AGP 8x; 300; 4:8:8:8; 2.8; 2.8; 256; 19.2; DDR; 256; 9.0; 2.0; ; 
