Model[ 136]; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API compliance (version); API compliance (version); Processing power (GFLOPS); TDP (Watts); Notes
Model[ 136]; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS); TDP (Watts); Notes
Mobility Radeon HD 3100; August 1, 2008; RS780MC; RV620; 55; PCIe x16 1.1; 300; 800 (system memory); 40:4:4; 1.2; 1.2; up to 512 from system memory; 6.4/12.8; DDR2; 64/128; 10.1; 2.0 (3.3); 24; ; UVD, PowerPlay 7.0
Mobility Radeon HD 3200; June 4, 2008; RS780MC; RV620; 55; PCIe x16 1.1; 500; 800 (system memory); 40:4:4; 2; 2; up to 512 from system memory; 6.4/12.8; DDR2; 64/128; 10.1; 2.0 (3.3); 40; ; UVD, PowerPlay 7.0
Mobility Radeon HD 3410; July 25, 2008; M82-MPE; RV620; 55; PCIe x16 1.1; 400; 400; 40:4:4; 1.6; 1.6; 256, 512; 6.4; DDR2; 32; 10.1; 2.0 (3.3); ; UVD, PowerPlay 7.0
Mobility Radeon HD 3430; July 25, 2008; M82-SE; RV620; 55; 450; 400; 1.8; 40:4:4; 64; 1.8; 6.4; 36; DDR2; 10.1; 2.0 (3.3); ; UVD, PowerPlay 7.0
Mobility Radeon HD 3450; January 7, 2008; PCIe x16 2.0; RV620; 55; M82; 500; 256; 40:4:4; 64; 400 700; 2; 2; 6.4 11.2; 40; 10.1; 2.0 (3.3); ; UVD, PowerPlay 7.0
Mobility Radeon HD 3470; January 7, 2008; PCIe x16 2.0; RV620; 55; M82-XT; 680; 256; 40:4:4; 64; 400 800; 2.72; 2.72; 6.4 12.8; 54.4; 10.1; 2.0 (3.3); ; UVD, PowerPlay 7.0
Mobility Radeon HD 3650; January 7, 2008; PCIe x16 2.0; M86; 55; 500; 500 700; 2; 4; 512 1024; 16.0 22.4; DDR2 GDDR3 GDDR4; 128; 3.3; 120; 10.1; ; UVD, PowerPlay 7.0
Mobility Radeon HD 3670; January 7, 2008; PCIe x16 2.0; RV635; 55; M86-XT; 120:8:4; 680; 800; 512 1024; 2.72; DDR2 GDDR3 GDDR4; 128; 5.44; 25.6; 10.1; 163.2; 30; 
Mobility Radeon HD 3850; June 4, 2008; PCIe x16 2.0; M88-L/M88-LP; 55; 580; 750; 2.0 (3.3); 9.28; 9.28; UVD, PowerPlay 7.0; 48.0; 256; 371.2; ; 10.1; 
Mobility Radeon HD 3870; June 4, 2008; PCIe x16 2.0; RV670; 55; M88-LXT; 320:16:16; 2.0 (3.3); 660; 512; UVD, PowerPlay 7.0; GDDR3; 256; 850; 10.56; 10.1; 10.56; 54.4; 422.4; 55
Mobility Radeon HD 3850 X2; June 5, 2008; PCIe x16 2.0; 2x M88-L/M88-LP; 55; 580; 750; 2.0 (3.3); 2x 9.28; 2x 9.28; UVD, PowerPlay 7.0; GDDR3; 2x 48.0; 2x 371.2; ; 10.1; 
Mobility Radeon HD 3870 X2; September 1, 2008; PCIe x16 2.0; R680; 55; 2x M88-LXT; 2x [320:16:16]; 2.0 (3.3); 660; 2x 512; UVD, PowerPlay 7.0; GDDR3; 2x 256; 850; 2x 10.56; 10.1; 2x 10.56; 2x 54.4; 2x 422.4; 110
