Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit)
Radeon VE/7000; Feb 19, 2001; RV100 (piglet); 180; AGP 4x, PCI; 183; 183; 1:0:3:1; 183; 336; 549; 0; 32, 64; 2.688; DDR; 64
Radeon LE/7100 (OEM); May 1, 2001; Rage 6 / R100; 180; AGP 4x; 150; 150; 296; 296; 888; 37.5; 32; 4.736; 128; DDR; 
Radeon SDR/7200; June 2000; Rage 6 / R100; 180; AGP 4x, PCI; 166; 2:1:6:2; 166; 333; 333; 996; 32; 41.5; 128; 2.656; SDR
Radeon DDR/7200; April 2000; Rage 6 / R100; 180; AGP 4x; 166/183A; 2:1:6:2; 166/183A; 333/366A; 333/366A; 966/1098A; 41.5/45.75A; 32, 64; 128; 5.312/5.856A; 
Radeon DDR/7500 VIVO; 2001; Rage 6 / R100; 180; 166/183B; 166/183B; 2:1:6:2; 333/366B; 333/366B; 966/1098B; 41.5/45.75B; DDR; 5.312/5.856B; 128; 
Radeon  DDR/7500  VIVO  "SE"; 2001; Rage 6 / R100; 180; 200; 200; 2:1:6:2; 400; 400; 1200; 64; DDR; 50.0; 128; 6.400; 
Radeon 7500 LE; N/A; RV200  (morpheus); AGP 4x, PCI; 250; 175; 2:1:6:2; 500; 500; 1500; 62.5; DDR; 32, 64; 128; 5.600; 
Radeon 7500; Aug 14, 2001; RV200  (morpheus); AGP 4x, PCI; 290; 230; 2:1:6:2; 580; 580; 1740; 72.5; DDR; 32, 64, 128[ 18]; 128; 7.360; 
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit)
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; 
