Model; Launch; Code name; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory
Model; Launch; Code name; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit)
Radeon 8500; Aug 14, 2001; R200 (chaplin); AGP 4x; 275; 275; 4:2:8:4; 1100; 1100; 2200; 137.5; 64, 128; 8.8; DDR; 128
Radeon 8500 LE; Feb 4, 2002; R200 (chaplin); AGP 4x; 250; 1000; 4:2:8:4; 1000; 2000; 125; 8; 64, 128; DDR; 128
Radeon 9000; Aug 1, 2002; AGP 4x; 200; 1000; 4:1:4:4; 1000; 1000; 50; 6.4; 64, 128; DDR; 128
Radeon 9000 Pro; Aug 1, 2002; 275; AGP 4x; 275; 1100; 4:1:4:4; 1100; 1100; 68.75; 8.8; 64, 128; DDR; 128
Radeon 9100; April 1, 2003; R200 (chaplin); AGP 8x, PCI; 250; 250; 4:2:8:4; 1000; 1000; 2000; 125; 64, 128; 8.0; DDR; 128
Radeon 9200; April 1, 2003; RV280 (argus); AGP 8x, PCI; 250; 200; 1000; 1000; 1000; 62.5; 6.4; DDR; 128
Radeon 9200 SE; March 1, 2003; RV280 (argus); AGP 8x, PCI; 200; 4:1:4:4; 166; 800; 800; 64, 128, 256; 800; 50; 2.67; DDR; 64
Radeon 9250; March 1, 2004; RV280 (argus); AGP 8x, PCI; 240; 4:1:4:4; 200; 960; 960; 64, 128, 256; 960; 60; 3.2, 6.4; DDR; 64, 128
Radeon 9250 SE; 2004; RV280 (argus); AGP 8x; ; 4:1:4:4; ; ; ; 64, 128, 256; ; ; ; DDR; 64
