Graphics; Launch; Market; Processor; Code name; Device ID[ 3]; Clock rate (MHz); Core config1; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; eDRAM (MiB); Memory bandwidth (GB/s)
Graphics; Launch; Market; Processor; Code name; Device ID[ 3]; Clock rate (MHz); Core config1; Direct3D; OpenGL; OpenCL; Vulkan; eDRAM (MiB); Memory bandwidth (GB/s)
HD Graphics; 2015; Ultramobile; Atom x5-Z8300; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; 200-500; 96:12:2; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 12.8
HD Graphics; 2015; Ultramobile; Atom x5-Z8500; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; 200-600; 96:12:2; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics; 2015; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Celeron N3000 Celeron N3050; 96:12:2; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 320-600
HD Graphics; 2015; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Celeron N3150; 96:12:2; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 320-640
HD Graphics; 2015; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Atom x7-Z8700; 200-600; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics; 2015; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Pentium N3700; 400-700; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics 400; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Atom x5-Z8350[ 49]; 200-500; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics 400; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Celeron N3010 Celeron N3060; 320-600; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics 400; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Celeron N3160; 320-640; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics 400; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Celeron J3060 Celeron J3160; 320-700; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 
HD Graphics 405; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Pentium N3710; 400-700; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 128:16:2
HD Graphics 405; 2016; Ultramobile; 25.6; Cherryview Braswell (Gen8LP); 22B0 22B1 22B2 22B3; Pentium J3710; 400-740; 11.2; 4.3Windows 4.6Linux ES  3.2Linux; 2.0Windows 1.2Linux; 1.1Linux; -; 144:18:2
HD Graphics; 2015; Mobile; Celeron 3205U Celeron 3755U Pentium 3805U; Broadwell (Gen8); 1606; 100–800; 96:12:2 (GT1); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics; 2015; Mobile; Celeron  3215U Celeron 3765U Pentium 3825U; Broadwell (Gen8); 1606; 300–850; 96:12:2 (GT1); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5300; 2014; Ultramobile; Core M-5Y10 Core M-5Y10a; Broadwell (Gen8); 100–800; 192:24:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5300; 2014; Ultramobile; Core M-5Y10c; Broadwell (Gen8); 300–800; 192:24:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5300; 2014; Ultramobile; Core M-5Y70; Broadwell (Gen8); 100–850; 192:24:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5300; 2014; Ultramobile; Core M-5Y31; Broadwell (Gen8); 300–850; 192:24:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5300; 2014; Ultramobile; Core M-5Y51 Core M-5Y71; Broadwell (Gen8); 300–900; 192:24:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5500; 2015; Mobile; Core i3-5005U Core i3-5015U; Broadwell (Gen8); 300–850; 184:23:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5500; 2015; Mobile; Core i3-5010U Core i3-5020U; Broadwell (Gen8); 184:23:3 (GT2); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5500; 2015; Mobile; Core i5-5200U Core i5-5300U; Broadwell (Gen8); 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5500; 2015; Mobile; Core i7-5500U Core i7-5600U; Broadwell (Gen8); 300–950; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5600; 2015; 192:24:3 (GT2); Core i7-5700EQ; Broadwell (Gen8); 300–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 5600; 2015; 192:24:3 (GT2); Core i7-5700HQ; Broadwell (Gen8); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics P5700; 2015; 192:24:3 (GT2); Mobile; Broadwell (Gen8); Xeon E3-1258L v4; ?; 700-1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 6000; 2015; Core i5-5250U; 1626; Broadwell (Gen8); 300–950; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
HD Graphics 6000; 2015; Core i5-5350U Core i7-5550U Core i7-5650U; 1626; Broadwell (Gen8); 384:48:6 (GT3); 300–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Graphics 6100; 2015; Core i3-5157U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Graphics 6100; 2015; Core i5-5257U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Graphics 6100; 2015; Core i5-5287U Core i7-5557U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1100; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
