Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API support; API support
Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL
STG-2000; May 22, 1995; NV1; SGS 500  nm; PCI; 12; 75; 1:1:1; 12; 12; 12; 0; 2 4; 0.6; EDO VRAM; 64; n/a; n/a
Riva 128; August 25, 1997; NV3; SGS 350  nm; AGP 1×,[ 3] PCI; 100; 100; 1:1:1; 100; 100; 100; 0; 4; 1.6; 128; 5.0; 1.0; 
Riva 128ZX; February 23, 1998; NV3; SGS/TSMC 350  nm; 8; 100; 100; 1:1:1; 100; 100; 100; 0; 1.6; SDR; 128; 5.0; 1.0; 
Riva TNT; June 15, 1998; NV4; AGP 2×, PCI; TSMC 350  nm; 90; 110; 180; 180; 180; 8 16; 0; 1.76; SDR; 128; 
Vanta; March 22, 1999; NV6; TSMC 250  nm; AGP 4×; 100; 2:2:2; 125; 200; 200; 200; 0; 6.0; SDR; 1.2; 16; 1; 
Vanta LT; March 2000; NV6; TSMC 250  nm; AGP 4×; 80; 2:2:2; 100; 160; 160; 160; 0; 6.0; SDR; 1.2; 8 16; 0.8; 
Riva TNT2 M64; October 1999; NV6; TSMC 250  nm; 125; 150; 2:2:2; 250; 250; 250; 8, 16 32; 0; 6.0; SDR; 1.2; 1.2; 
Riva TNT2; March 15, 1999; TSMC 250  nm; 125; 150; 2:2:2; 250; 250; 250; 16 32; 0; 6.0; SDR; 1.2; 2.4; 
Riva TNT2 Pro; October 12, 1999; TSMC 220  nm; NV5; 143; 166; 2:2:2; 128; 286; 286; 286; 0; 6.0; SDR; 1.2; 32; 2.656; 
Riva TNT2 Ultra; March 15, 1999; TSMC 250  nm; NV5; 150; 183; 2:2:2; 128; 300; 300; 300; 0; 6.0; SDR; 1.2; 16 32; 2.928; 
