Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; SMX count; Core config1; Clock rate; Clock rate; Clock rate; Clock rate; Fillrate; Fillrate; Memory configuration; Memory configuration; Memory configuration; Memory configuration; Supported API version; Supported API version; Supported API version; Supported API version; Processing power (GFLOPS)9; Processing power (GFLOPS)9; TDP (Watts); Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; SMX count; Core config1; Base (MHz); Average Boost (MHz); Max Boost2 (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); DRAM type; Bus width (bit); Vulkan; Direct3D3; OpenGL; OpenCL; Single precision; Double precision; TDP (Watts); Release Price (USD)
GeForce GT 705[ 38] 4; March 27, 2014; GF119-300-A1; TSMC 40  nm; 292; 79; PCIe 2.0 ×16; 1; 48:8:4; 810; N/A; N/A; 898 (1796); 3.24; 6.5; 512 1024; 14.4; DDR3; 64; n/a[ 23]; 12; 4.6; 1.1; 155.5; 19.4; 29; OEM
GeForce GT 710[ 39]; March 27, 2014; GK208-301-A1; 1020; 79; PCIe 2.0 ×8; 192:16:8; 1; 823; N/A; N/A; 900 (1800); 6.6; 13.2; 512; 1.0[ 23]; 14.4; DDR3; 316.0; 13.2; 12; 4.6; ; OEM
GeForce GT 710[ 39]; January 26, 2016; TSMC 28 nm; 1020; 79; GK208-203-B1; PCIe 2.0 ×8, PCIe ×1; 1; 192:16:8; 954; N/A; N/A; 900 (1800) 1253 (5010); 7.6; 64; 1.0[ 23]; 15.3; 1.2; 1024 2048; 14.4 40.0; 12; 4.6; 15.3; $35–45; 
GeForce GT 720[ 40]; March 27, 2014; TSMC 28 nm; 1020; 79; GK208-201-B1; 192:16:8; 1; 797; N/A; N/A; 900 (1800) 1253 (5010); DDR3 GDDR5; 366; 64; 1.0[ 23]; 19; 1.2; 6.4; 12.8; 12; 4.6; 1024 2048; 14.4 40.0; 12.8; $49–59; 
GeForce GT 730 [ 41] 5,6; June 18, 2014; TSMC 28 nm; 1020; 79; GK208-301-A1; 384:16:8; 902; N/A; N/A; 900 (1800); 7.22; 14.44; 1024[ 42] 2048 4096; 64; 1.0[ 23]; 14.4; 1.2; DDR3; 23; 12; 4.6; 
GeForce GT 730 [ 41] 5,6; June 18, 2014; TSMC 28 nm; 1020; 79; GK208-400-A1; 384:16:8; 902; N/A; N/A; 1250 (5000); 7.22; 14.44; 1024 2048[ 43]; 64; 1.0[ 23]; 692.7; 1.2; 40.0; $69–79; 12; 4.6; GDDR5; 25; 
GeForce GT 730 [ 41] 5,6; June 18, 2014; GF108; TSMC 40  nm; 2; 585; 116; PCIe 2.0 ×16; 96:16:4; 700; N/A; N/A; 900 (1800); 2.8; 11.0; 28.8; 128; n/a[ 23]; 1.1; $69–79; 12; 4.6; 268.8; 33.6; 49; 
GeForce GT 7407; May 29, 2014; GK107-425-A2; 2; 1270; 118; PCIe 3.0 ×16; 384:32:16; 993; N/A; N/A; 1024 2048 4096; 891 (1782); DDR3; 15.9; 31.8; 28.5; 1.2; 762.6; 12; 4.6; 64; $89–99; 
GeForce GT 7407; May 29, 2014; GK107-425-A2; 384:32:16; 2; 1270; 118; PCIe 3.0 ×16; 993; N/A; N/A; 1252 (5008); 1024 2048 4096; 15.9; 31.8; 80.1; 128; 1.0[ 23]; 1.2; 762.6; 12; 4.6; 64; $89–99; GDDR5; 
GeForce GTX 745; February 18, 2014; GM107-220-A2; TSMC 28HP; 148; 3; PCIe 3.0 ×16; 384:24:16; 1033; Unknown; Unknown; 900 (1800); 16.5; 24.8; 1024 4096; 128; 1.0[ 23]; 1.2; 28.8; 12; 4.6; DDR3; 793.3; 24.8; OEM; 
GeForce GTX 750; February 18, 2014; GM107-300-A2; 4; TSMC 28HP; 148; 512:32:16; PCIe 3.0 ×16; 1020; 1085; 1163; 1250 (5000); 16.3; 32.6; 1024 2048; 80; 128; 1.0[ 23]; 1.2; 55; 12; 4.6; 1044.5; 32.6; $119; 
GeForce GTX 750 Ti; February 18, 2014; GM107-400-A2; 5; TSMC 28HP; 148; 640:40:16; PCIe 3.0 ×16; 1020; 1085; 1200; 1350 (5400); GDDR5; 16.3; 40.8; 1024 2048 4096; 128; 1.0[ 23]; 1.2; 86.4; 12; 4.6; 1305.6; 40.8; 60; $149; 
GeForce GTX 760 192-bit; October 17, 2013; GK104-200-KD-A2; TSMC 28HP; 294; 6; PCIe 3.0 ×16; 1152:96:24; 824; 888; 889; GDDR5; 1450 (5800); 19.8; 79.1; 1536 3072; 1.0[ 23]; 1.2; 134.4; 12; 4.6; 192; 1896.2; 79.0; 130; OEM
GeForce GTX 760; June 25, 2013; GK104-225-A2; 1152:96:32; TSMC 28HP; 294; 6; PCIe 3.0 ×16; 980; 1033; 1124; 1502 (6008); GDDR5; 31.410; 94; 2048 4096; 192.3; 1.0[ 23]; 1.2; 2257.9; 12; 4.6; 94.1; $249 ($219); 
GeForce GTX 760 Ti8; September 27, 2013 [ 44]; GK104; 7; TSMC 28HP; 294; 1344:112:32; PCIe 3.0 ×16; 915; 980; 1084; 1502 (6008); GDDR5; 256; 29.3; 102.5; 170; 1.0[ 23]; 1.2; 2048; 12; 4.6; 192.3; 2459.5; 102.5; OEM; 
GeForce GTX 770; May 30, 2013; GK104-425-A2; 8; TSMC 28HP; 294; 1536:128:32; PCIe 3.0 ×16; 1046; 1085; 1130; 1752.5 (7010); GDDR5; 256; 33.5; 134; 2048 4096; 1.0[ 23]; 1.2; 224; 12; 4.6; 3213.3; 133.9; $399 ($329); 
GeForce GTX 780; May 23, 2013; GK110-300-A1; TSMC 28HP; 561; 12; PCIe 3.0 ×16; 2304:192:48; 863; 900; 1002; GDDR5; 1502 (6008); 41.410; 230; 160.5; 1.0[ 23]; 1.2; 3072 6144[ 45]; 12; 4.6; 288.4; 3976.7; 165.7; $649 ($499); 
GeForce GTX 780 Ti[ 46] [ 47] [ 48]; November 7, 2013; GK110-425-B1; 15; TSMC 28HP; 561; 2880:240:48; PCIe 3.0 ×16; 876; 928; 1019; 1752.5 (7010); GDDR5; 42.010; 210.2; 230; 384; 1.0[ 23]; 1.2; 3072; 12; 4.6; 336.5; 5045.7; 210.2; $699; 
GeForce GTX TITAN[ 49] [ 50] [ 51]; February 21, 2013; GK110-400-A1; 14; TSMC 28HP; 561; 2688:224:48; PCIe 3.0 ×16; 837; 876; 993; 1502 (6008); GDDR5; 40.2; 187.5; 230; 384; 1.0[ 23]; 1.2; 288.4; 12; 4.6; 4499.7; 1300[ 52] -1499.9; 
GeForce GTX TITAN Black; February 18, 2014; GK110-430-B1; 15; TSMC 28HP; 561; 2880:240:48; PCIe 3.0 ×16; 889; 980; 1058; 6144; GDDR5; 1752.5 (7010); 42.7; 230; 384; 1.0[ 23]; 1.2; 213.4; 12; 4.6; 336.5; 5120.6; 1706.9; 
GeForce GTX TITAN Z; March 25, 2014; 2× GK110; 2× 7080; TSMC 28HP; 2× 561; 2× 15; PCIe 3.0 ×16; 2× 2880:240:48; 705; 876; Unknown; GDDR5; 1752.5 (7010); 2× 33.8; 2× 169; 2× 6144; 1.0[ 23]; 1.2; 2× 336.5; 12; 2× 384; 4.5; 8121.6; 2707.2; 375; $2999
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; SMX count; Core config1; Clock rate; Clock rate; Clock rate; Clock rate; Fillrate; Fillrate; Memory configuration; Memory configuration; Memory configuration; Memory configuration; Supported API version; Supported API version; Supported API version; Supported API version; Processing power (GFLOPS)8; Processing power (GFLOPS)8; TDP (Watts); Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; SMX count; Core config1; Base (MHz); Average Boost (MHz); Max Boost2 (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); DRAM type; Bus width (bit); Vulkan; Direct3D3; OpenGL; OpenCL; Single precision; Double precision; TDP (Watts); Release Price (USD)
