kernel; HP; HP; HP; Softbank/ARM Holdings; Softbank/ARM Holdings; Intel; Intel; Intel; Intel; Tallwood MIPS; Tallwood MIPS; IBM; IBM; IBM; IBM; Renesas Electronics; Renesas Electronics; Renesas Electronics; Renesas Electronics; Renesas Electronics; Renesas Electronics; Renesas Electronics; Oracle; Oracle; Oracle; NXP; NXP; Analog Devices; Xilinx; Cadence; Cadence; Canon/Axis Comm.; Socionext; Socionext; Microchip/ Atmel; CML/ Hyperstone; Intel/Altera; Intel/Altera; Intel/Altera; WDC; Sunplus Technology; Mellanox; TI
kernel; VAX; Alpha; PA-RISC; ARM; ARM; x86; x86; i960; IA-64; MIPS; MIPS; PowerPC; PowerPC; S/390; z/Arch; H8300; M16C; M32R; 78K; V850; SuperH; SuperH; SPARC; SPARC; SPARC; m68k; m68k; Blackfin (no-mmu); MicroBlaze; Xtensa; Xtensa; ETRAX CRIS; FR-V; MN10300; AVR32; E1 (no-mmu); Nios (no-mmu); Nios II; Nios II; WDC 65C816; S+core; Tilera; C6X
kernel; VAX; Alpha; PA-RISC; mmu; no-mmu; x86; x86-64; i960; IA-64; mmu; no-mmu; 32-bit; 64-bit; S/390; z/Arch; H8300; M16C; M32R; 78K; V850; mmu; no-mmu; 32-bit; 64-bit; no-mmu; mmu; no-mmu; Blackfin (no-mmu); MicroBlaze; mmu; no-mmu; ETRAX CRIS; FR-V; MN10300; AVR32; E1 (no-mmu); Nios (no-mmu); mmu; no-mmu; WDC 65C816; S+core; Tilera; C6X
DragonFly BSD kernel; No; No; No; No; No; No; Yes; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No
FreeBSD kernel; No; No; No; Yes; ?; Yes; Yes; ?; Yes; Yes; No; Yes; Yes; No; No; ?; ?; ?; ?; ?; No; No; No; Yes; ?; No; No; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
Linux kernel; No; Yes; Yes; Yes; Yes; Yes; Yes; No; Yes; Yes; ?; Yes; Yes; Yes; Yes; Yes; No; 4.16 and below only[ 34]; No; 2.6 and below only; Yes; Yes; Yes; Yes; Yes; Yes; Yes; 4.16 and below only[ 34]; Yes; Yes; Yes; 4.16 and below only[ 34]; 4.16 and below only[ 34]; 4.16 and below only[ 34]; 4.12 and below only; No; No; Yes; Yes; No; 4.16 and below only[ 34]; 4.16 and below only[ 34]; Yes
MINIX 3 kernel; ?; No; No; Yes; ?; Yes; In progress; No; No; In progress; ?; No; No; No; No; No; ?; No; ?; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No
NetBSD kernel; Yes; Yes; Yes; Yes; No[ 35]; Yes; Yes; ?; Yes; Yes; No[ 35]; Yes; No; No; No; ?; ?; ?; ?; ?; Yes; No[ 35]; Yes; Yes; No[ 35]; Yes; No[ 35]; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
NetWare kernel; No; No; No; No; No; Yes; No; ?; No; No; No; No; No; No; No; ?; ?; ?; ?; ?; No; No; No; No; No; No; No; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
OpenBSD kernel; No; Yes; Yes; Yes; ?; Yes; Yes; ?; No; Yes; ?; Yes; No; No; No; ?; ?; ?; ?; ?; Yes; ?; Yes; Yes; ?; Yes; Yes; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
Rockbox kernel; ?; ?; ?; Yes; ?; ?; ?; ?; ?; Yes; ?; ?; ?; ?; No; ?; ?; ?; ?; ?; Yes; ?; ?; ?; ?; Yes; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
Solaris kernel; No; No; No; No; No; Yes; Yes; ?; No; No; No; No; No; No; No; ?; ?; ?; ?; ?; No; No; Yes; Yes; ?; No; No; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
Windows NT kernel; No; NT 5.0 RC1 and below only; No; Yes; No; Yes; Yes; No; XP and 2003-2008 R2 only; NT 4.0 and below only; No; NT 3.51 and NT 4.0 only; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No
Windows CE kernel; No; No; No; Yes; ?; Yes; ?; No; No; Yes; ?; No; No; No; No; No; ?; No; ?; No; Yes; ?; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No; No
XNU; No; No; No; Yes; ?; Yes; Yes; ?; No; No; No; Yes; Yes; No; No; ?; ?; ?; ?; ?; No; No; No; No; No; No; No; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
SPARTAN kernel; ?; No; No; Yes; ?; Yes; Yes; ?; Yes; Yes; ?; Yes; No; No; No; ?; ?; ?; ?; ?; No; No; Yes; Yes; ?; No; No; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?; ?
FreeRTOS kernel; ?; ?; ?; ?; Yes[ 36]; ?; ?; ?; ?; ?; ?; Yes[ 36]; ?; ?; No; Yes[ 36]; ?; ?; Yes[ 36]; Yes[ 36]; ?; Yes[ 36]; ?; ?; ?; ?; ?; Yes[ 36]; Yes[ 36]; ?; ?; ?; ?; ?; Yes[ 36]; ?; ?; ?; Yes[ 36]; ?; ?; ?; ?
