kernel;Hewlett-PackardHP ;Hewlett-PackardHP ;Hewlett-PackardHP ;Softbank/ARM Holdings ;Softbank/ARM Holdings ;Intel;Intel;Intel;Intel;Tallwood MIPS ;Tallwood MIPS ;IBM  ;IBM  ;IBM  ;IBM  ;Renesas Electronics ;Renesas Electronics ;Renesas Electronics ;Renesas Electronics ;Renesas Electronics ;Renesas Electronics ;Renesas Electronics ;Oracle;Oracle;Oracle;NXP;NXP;Analog Devices ;Xilinx;Cadence ;Cadence ;Canon Inc.Canon/Axis Comm.;Socionext ;Socionext ;Microchip/Atmel;CML/ Hyperstone;Intel/Altera;Intel/Altera;Intel/Altera;WDC;Sunplus Technology;Mellanox ;TI
kernel;VAX;Alpha;PA-RISC familyPA-RISC;ARM;ARM;x86 architecturex86;x86 architecturex86;i960;IA-64;MIPS;MIPS;PowerPC;PowerPC;System/390S/390;z/Architecturez/Arch;H8300;M16C;M32R;78K;V850;SuperH;SuperH;SPARC;SPARC;SPARC;m68k;m68k;Blackfin (no-mmu);MicroBlaze;Xtensa;Xtensa;ETRAX CRIS;FR-V;MN10300;AVR32;E1 (no-mmu);Nios (no-mmu);Nios II;Nios II;WDC 65C816;S+core;Tilera;Texas Instruments TMS320C6000C6X
kernel;VAX;Alpha;PA-RISC familyPA-RISC;mmu;no-mmu;x86;x86-64;i960;IA-64;mmu;no-mmu;32-bit;64-bit;System/390S/390;z/Architecturez/Arch;H8300;M16C;M32R;78K;V850;mmu;no-mmu;32-bit;64-bit;no-mmu;mmu;no-mmu;Blackfin (no-mmu);MicroBlaze;mmu;no-mmu;ETRAX CRIS;FR-V;MN10300;AVR32;E1 (no-mmu);Nios (no-mmu);mmu;no-mmu;WDC 65C816;S+core;Tilera;Texas Instruments TMS320C6000C6X
DragonFly BSD#KernelDragonFly BSD kernel;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
FreeBSD kernel;No;No;No;Yes;;Yes;Yes;;Yes;Yes;No;Yes;Yes;No;No;;;;;;No;No;No;Yes;;No;No;;;;;;;;;;;;;;;;
Linux kernel;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;;No;Yes22.6 and below only;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;;;;Yes24.12 and below only;No;No;yes;yes;;;;Yes
MINIX 3MINIX 3 kernel;;No;No;Yes;;Yes;In progress;No;No;In progress;;No;No;No;No;No;;No;;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
NetBSD kernel;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes;;Yes;No;No;No;;;;;;Yes;;Yes;Yes;;Yes;;;;;;;;;;;;;;;;;
NetWare kernel;No;No;No;No;No;Yes;No;;No;No;No;No;No;No;No;;;;;;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;
OpenBSD kernel;No;Yes;Yes;Yes;;Yes;Yes;;No;Yes;;Yes;No;No;No;;;;;;yes;;Yes;Yes;;Yes;Yes;;;;;;;;;;;;;;;;
Rockbox kernel;;;;Yes;;;;;;Yes;;;;;No;;;;;;Yes;;;;;Yes;;;;;;;;;;;;;;;;;
Solaris kernel;No;No;No;No;No;Yes;Yes;;No;No;No;No;No;No;No;;;;;;No;No;Yes;Yes;;No;No;;;;;;;;;;;;;;;;
Architecture of Windows NT#Kernel modeWindows NT kernel;No;Yes2NT 5.0 RC1 and below only;No;Yes;No;Yes;Yes;No;Yes2Windows XP editions#Windows XP 64-Bit EditionXP and Windows Server 20032003-Windows Server 2008 R22008 R2 only;Yes2Windows NT 4.0NT 4.0 and below only;No;Yes2Windows NT 3.51NT 3.51 and Windows NT 4.0NT 4.0 only;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
Windows CE kernel;No;No;No;Yes;;Yes;;No;No;Yes;;No;No;No;No;No;;No;;No;Yes;;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
XNU;No;No;No;Yes;;Yes;Yes;;No;No;No;Yes;Yes;No;No;;;;;;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;
SPARTAN kernel;;No;No;Yes;;Yes;Yes;;Yes;Yes;;Yes;No;No;No;;;;;;No;No;Yes;Yes;;No;No;;;;;;;;;;;;;;;;
FreeRTOS kernel;;;;;;;;;;;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;
